Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
50,2.643526,08 47 10.1581615,09 23 00.666028,43134,08 47 10.17,09 23 00.8,8.52,131.7923586,9.38356056,5,-13.37,-17.37,1.07,0.123,,131.7923257,9.38351834
51,2.646926,08 42 10.4954291,10 26 18.249246,42704,08 42 10.49,10 26 18.4,8.65,130.5437141,10.43845361,3.38,6.84,-21,1.23,1.132,,130.543731,10.43840257
52,2.655876,08 53 43.7694919,14 24 32.955336,43663,08 53 43.78,14 24 33.0,8.08,133.4323959,14.40916809,3.66,-9.18,-5.69,1,0.007,,133.4323729,14.40915426
53,2.659711,08 53 01.6081254,09 11 06.430617,43618,08 53 01.54,09 11 08.8,8.61,133.2564065,9.1857843,16.49,119.41,-273.47,1.36,0.69,,133.2567005,9.18511962
54,2.677207,09 01 22.7768781,10 43 58.513411,44303,09 01 22.78,10 43 58.5,8.87,135.3449319,10.73291276,15.58,-11.42,3.14,1.15,0.673,,135.3449037,10.73292039
55,2.762791,08 52 34.0678373,09 04 02.453721,43582,08 52 34.07,09 04 02.6,8.5,133.1419619,9.06738119,1.35,-5.09,-13.55,1.31,1.554,,133.1419493,9.06734826
56,2.804273,08 40 32.5491165,10 55 26.899560,42560,08 40 32.55,10 55 27.0,6.78,130.1356434,10.92415318,3.74,-8.9,-5.93,0.95,1.382,,130.1356213,10.92413877
57,2.830693,08 41 16.6367230,13 12 01.417576,42630,08 41 16.64,13 12 01.5,8.51,130.319337,13.20040974,2.12,-6.93,-6.57,1.28,0.973,,130.3193197,13.20039377
58,2.841302,08 39 50.7917525,11 31 21.620926,42499,08 39 50.86,11 31 26.0,7.61,129.9619036,11.52388749,53.98,-109.35,-499.89,1.04,0.832,,129.9616323,11.52267248
59,2.879996,08 57 42.0237849,09 23 15.949011,44010,08 57 42.03,09 23 16.0,6.19,134.4251217,9.38777759,3.41,-9.16,-5.75,0.96,0.984,,134.4250991,9.38776361
60,2.95102,08 58 36.8755342,09 27 25.927230,44071,08 58 36.89,09 27 25.9,8.89,134.6537018,9.4571918,7.86,-21.81,4.2,1.39,0.497,,134.6536481,9.45720201
