Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
54,1.958103,03 52 05.5978866,22 40 17.861596,18097,03 52 05.47,22 40 20.8,7.57,58.02277927,22.67245692,37.25,207,-340.95,1.19,0.684,,58.02332453,22.67162822
55,1.966907,03 39 07.4120190,25 09 24.428504,17037,03 39 07.41,25 09 24.6,9.07,54.78086526,25.15682439,3.62,6.76,-15.92,1.58,0.224,,54.78088341,25.1567857
56,2.007738,03 42 24.0242591,22 25 16.098565,17317,03 42 24.01,22 25 16.5,10.4,55.60005036,22.42124648,6.66,19.29,-44.43,1.98,0.7,,55.60010108,22.42113849
57,2.039066,03 46 20.1400967,26 12 55.804202,17609,03 46 19.89,26 12 57.5,9.61,56.58286876,26.21598281,68.62,386.94,-198.16,1.78,1.437,,56.58391707,26.21550117
58,2.075798,03 49 55.0730636,22 14 38.944671,17921,03 49 55.06,22 14 39.3,6.05,57.47940839,22.24426286,10.14,23.88,-45.9,0.9,-0.006,,57.4794711,22.2441513
59,2.097651,03 54 44.5805160,23 12 05.71631,18296,03 54 44.58,23 12 05.8,7.95,58.68574858,23.20161008,3.25,1.35,-9.14,1.13,0.048,,58.68575215,23.20158786
60,2.141479,03 45 08.2054238,26 17 33.019715,17525,03 45 08.19,26 17 33.5,11.49,56.28414429,26.2926254,13.35,16.59,-49.34,3.18,0.823,,56.28418927,26.29250548
61,2.149749,03 55 19.4469099,23 21 37.430296,18346,03 55 19.40,23 21 37.5,8.4,58.83084354,23.36041986,8.61,69.97,-9.28,1.34,1.01,,58.83102879,23.3603973
62,2.173517,03 53 13.7174152,25 45 21.849688,18175,03 53 13.71,25 45 22.0,10.24,58.30713115,25.75611041,4.16,9.17,-16.89,2.18,0.21,,58.3071559,25.75606936
63,2.177296,03 53 34.4777157,25 40 58.378283,18201,03 53 34.46,25 40 58.7,6.35,58.39360035,25.68296603,6.82,21.06,-34.22,0.97,0.11,,58.39365715,25.68288286
64,2.178845,03 44 58.9221695,22 01 56.834218,17511,03 44 58.91,22 01 57.2,9.49,56.24546103,22.03255788,10,18.31,-42.76,1.64,0.489,,56.24550904,22.03245395
65,2.182946,03 46 04.7876994,21 59 54.499160,17589,03 46 04.87,21 59 55.7,9.46,56.52027839,21.99881076,13.58,-125.75,-139.38,1.89,0.676,,56.51994875,21.99847199
66,2.203254,03 53 32.0130574,25 43 47.704056,18194,03 53 32.02,25 43 47.9,7.84,58.38339783,25.72997146,7.29,-3.74,-22.08,1.16,0.24,,58.38338774,25.72991779
67,2.250316,03 54 33.3588374,25 31 56.544187,18273,03 54 33.35,25 31 56.9,10.79,58.63896057,25.53246317,10.1,12.84,-36.94,2.78,0.749,,58.63899516,25.53237339
68,2.296377,03 43 46.0194367,26 22 52.046666,17407,03 43 46.03,26 22 52.2,7.35,55.94178078,26.38115414,4.04,-12.21,-12.37,1,1.16,,55.94174765,26.38112407
69,2.350173,03 36 28.8069095,23 47 50.252686,16824,03 36 28.77,23 47 51.2,8.62,54.119888,23.79754451,15.66,53,-103.72,1.32,0.669,,54.12002879,23.79729241
70,2.373861,03 38 40.7203053,22 39 34.601832,17000,03 38 40.71,22 39 35.0,6.71,54.669617,22.6597217,7.88,19.34,-45.29,1,-0.001,,54.66966794,22.65961162
71,2.414788,03 36 58.0249080,23 12 39.848958,16859,03 36 58.03,23 12 40.0,6.72,54.24181123,23.21111378,7.46,-15.42,-18.36,0.96,0.123,,54.24177045,23.21106915
72,2.432587,03 51 36.6225556,22 01 52.877211,18059,03 51 36.61,22 01 53.1,6.71,57.90255161,22.03142901,8.64,16.16,-30.54,1.02,1.12,,57.90259398,22.03135478
73,2.44088,03 48 18.9359701,26 35 21.010444,17774,03 48 18.96,26 35 21.0,7.98,57.07898533,26.58917912,4.53,-31.44,-3.93,1.45,1.15,,57.07889988,26.58916957
74,2.441955,03 35 59.9875459,23 54 50.851170,16784,03 35 59.99,23 54 50.9,9.02,53.99993843,23.91414195,3.8,3.64,-6.84,1.47,1.337,,53.99994811,23.91412532
75,2.475375,03 56 28.1215012,23 09 00.983657,18431,03 56 28.11,23 09 01.4,8.34,59.11712801,23.15038762,8.66,16.99,-47.06,1.53,0.269,,59.11717292,23.15027324
76,2.478138,03 57 26.3811949,24 27 42.974762,18508,03 57 26.39,24 27 43.0,6.19,59.35993764,24.46195525,3.04,-5.99,-7.33,0.92,1.372,,59.35992165,24.46193743
77,2.531537,03 38 22.5784186,22 29 58.858240,16979,03 38 22.57,22 29 59.2,10.09,54.59402326,22.49978748,5.86,20.33,-43.05,1.77,0.634,,54.59407674,22.49968284
78,2.570179,03 42 29.7617879,26 34 19.848941,17324,03 42 29.72,26 34 20.3,8.13,55.62381632,26.57229581,1.46,70.33,-47.54,1.13,1.341,,55.62400745,26.57218026
79,2.589829,03 57 03.8076127,23 10 31.980177,18485,03 57 03.80,23 10 32.1,6.05,59.26584139,23.17559132,6.14,8.95,-16.98,1.03,0.031,P,59.26586505,23.17555005
80,2.595005,03 52 48.2683732,26 21 58.323789,18149,03 52 48.25,26 21 58.6,10.44,58.2010475,26.36626957,4.91,26.07,-28.19,2.07,0.63,,58.20111822,26.36620105
81,2.638431,03 36 19.6725990,25 23 56.358698,16805,03 36 19.66,25 23 56.5,9.27,54.08190709,25.39901643,5.03,23.07,-11.48,1.37,0.405,,54.08196916,25.39898853
82,2.640809,03 57 11.8227338,25 16 58.196223,18491,03 57 11.82,25 16 58.1,7.5,59.29926252,25.28281126,3.98,-0.42,8.65,1.13,1.022,,59.29926139,25.28283228
83,2.674501,03 58 20.8980998,24 04 52.048676,18559,03 58 20.89,24 04 52.4,7.21,59.58702872,24.08123216,5.08,17.54,-44.24,1.28,0.035,,59.58707542,24.08112463
84,2.71248,03 56 28.7273311,22 40 27.819870,18433,03 56 28.62,22 40 29.9,7.84,59.11923816,22.67496102,21.41,174.27,-233.12,1.24,0.688,,59.11969721,22.67439441
85,2.791616,03 34 26.6249304,24 27 51.814398,16664,03 34 26.62,24 27 52.1,5.95,53.61093,24.46447543,6.28,2.7,-33.96,3.96,0.123,,53.61093721,24.46439289
86,2.805137,03 37 11.0379349,25 59 27.944383,16879,03 37 10.88,25 59 30.3,7.28,54.29534916,25.99175641,26.78,237.51,-271.85,0.95,0.704,P,54.2959914,25.99109566
